State,Cycle Year,Level,Seats,Institution,Institution Note,Party Control,Governor,Governor Role,Upper House,Upper House Role,Lower House,Lower House Role,Court Action,Passed,Start Date,End Date,Plan Status,Drawn by,Party drawing,SHPsource,GeoJSON,ZIP,PDF
CT,2000,Congress,5,Backup commission,"Supermajority, no veto",Split,R,No role,"21D, 15 R",,"100 D, 51 R",,,2001-12-21,2001-12-21,2012-02-10,Superseded,Backup commission,Split,,ct_2000_congress_2001-12-21.json,ct_2000_congress_2001-12-21.zip,ct_2000_congress_2001-12-21.pdf
CT,2000,State Upper,36,Backup commission,"Supermajority, no veto",Split,R,No role,"21D, 15 R",,"100 D, 51 R",,,2001-11-26,2001-11-26,2011-11-30,Superseded,Backup commission,Split,,ct_2000_state_upper_2001-11-26.json,ct_2000_state_upper_2001-11-26.zip,ct_2000_state_upper_2001-11-26.pdf
CT,2000,State Lower,151,Backup commission,"Supermajority, no veto",Split,R,No role,"21D, 15 R",,"100 D, 51 R",,,2001-11-30,2001-11-30,2011-11-30,Superseded,Backup commission,Split,,ct_2000_state_lower_2001-11-30.json,ct_2000_state_lower_2001-11-30.zip,ct_2000_state_lower_2001-11-30.pdf
CT,2010,Congress,5,Backup commission,"Supermajority, no veto",Split,D,No role,"23 D, 13 R",,"100 D, 51 R",,Court drew map (not legislature),2012-02-10,2012-02-10,2022-02-15,Superseded,State court,n/a,https://www.cga.ct.gov/red2011/documents/2011/Congress.zip,ct_2010_congress_2012-02-10.json,ct_2010_congress_2012-02-10.zip,ct_2010_congress_2012-02-10.pdf
CT,2010,State Upper,36,Backup commission,"Supermajority, no veto",Split,D,No role,"23 D, 13 R",,"100 D, 51 R",,,2011-11-30,2011-11-30,2021-11-23,Superseded,Backup commission,Split,https://www.cga.ct.gov/red2011/documents/2011/Senate.zip,ct_2010_state_upper_2011-11-30.json,ct_2010_state_upper_2011-11-30.zip,ct_2010_state_upper_2011-11-30.pdf
CT,2010,State Lower,151,Backup commission,"Supermajority, no veto",Split,D,No role,"23 D, 13 R",,"100 D, 51 R",,,2011-11-30,2011-11-30,2021-11-18,Superseded,Backup commission,Split,https://www.cga.ct.gov/red2011/documents/2011/House.zip,ct_2010_state_lower_2011-11-30.json,ct_2010_state_lower_2011-11-30.zip,ct_2010_state_lower_2011-11-30.pdf
CT,2020,Congress,5,Backup commission,"Supermajority, no veto",Split,D,No role,"24 D, 12 R",,"97 D, 54 R",,court drew map (not legislature),2022-02-11,2022-02-15,2031-06-30,Active,State court,n/a,,ct_2020_congress_2022-02-15.json,ct_2020_congress_2022-02-15.zip,ct_2020_congress_2022-02-15.pdf
CT,2020,State Upper,36,Backup commission,"Supermajority, no veto",Split,D,No role,"24 D, 12 R",,"97 D, 54 R",,,2021-11-23,2021-11-23,2031-06-30,Active,Backup commission,Split,,ct_2020_state_upper_2021-11-23.json,ct_2020_state_upper_2021-11-23.zip,ct_2020_state_upper_2021-11-23.pdf
CT,2020,State Lower,151,Backup commission,"Supermajority, no veto",Split,D,No role,"24 D, 12 R",,"97 D, 54 R",,,2021-11-18,2021-11-18,2031-06-30,Active,Backup commission,Split,,ct_2020_state_lower_2021-11-18.json,ct_2020_state_lower_2021-11-18.zip,ct_2020_state_lower_2021-11-18.pdf
DE,2000,Congress,1,n/a,,n/a,n/a,,n/a,,n/a,,,,,,n/a,n/a,n/a,,,,
DE,2000,State Upper,21,Legislature,,Split,D,,"13 D, 8 R",,"15 D, 26 R",,,2002-04-19,2002-04-19,2002-06-19,Superseded,Legislature,Split,,de_2000_state_upper_2002-04-19.json,de_2000_state_upper_2002-04-19.zip,de_2000_state_upper_2002-04-19.pdf
DE,2000,State Lower,41,Legislature,,Split,D,,"13 D, 8 R",,"15 D, 26 R",,,2002-04-19,2002-04-19,2002-06-19,Superseded,Legislature,Split,,de_2000_state_lower_2002-04-19.json,de_2000_state_lower_2002-04-19.zip,de_2000_state_lower_2002-04-19.pdf
DE,2000,State Upper,21,Legislature,,Split,D,,"13 D, 8 R",,"15 D, 26 R",,,2002-06-19,2002-06-19,2011-07-08,Superseded,Legislature,Split,,de_2000_state_upper_2002-06-19.json,de_2000_state_upper_2002-06-19.zip,de_2000_state_upper_2002-06-19.pdf
DE,2000,State Lower,41,Legislature,,Split,D,,"13 D, 8 R",,"15 D, 26 R",,,2002-06-19,2002-06-19,2011-07-08,Superseded,Legislature,Split,,de_2000_state_lower_2002-06-19.json,de_2000_state_lower_2002-06-19.zip,de_2000_state_lower_2002-06-19.pdf
DE,2010,Congress,1,n/a,,n/a,n/a,,n/a,,n/a,,,,,,n/a,n/a,n/a,,,,
DE,2010,State Upper,21,Legislature,,Democratic,D,,"14 D, 7 R",,"26 D, 15 R",,,2011-07-08,2011-07-08,2021-11-02,Superseded,Legislature,Democratic,https://opendata.arcgis.com/datasets/7f5a42e0a3284c0a857a4ed549ca8b6e_0.zip,de_2010_state_upper_2011-07-08.json,de_2010_state_upper_2011-07-08.zip,de_2010_state_upper_2011-07-08.pdf
DE,2010,State Lower,41,Legislature,,Democratic,D,,"14 D, 7 R",,"26 D, 15 R",,,2011-07-08,2011-07-08,2021-11-02,Superseded,Legislature,Democratic,https://opendata.arcgis.com/datasets/c7eb6e2ee15d4c27be2a2a67c3d88c6d_0.zip,de_2010_state_lower_2011-07-08.json,de_2010_state_lower_2011-07-08.zip,de_2010_state_lower_2011-07-08.pdf
DE,2020,Congress,1,n/a,,n/a,n/a,,n/a,,n/a,,,,,,Active,,,,,,
DE,2020,State Upper,21,Legislature,Vetoproof,Democratic,D,,"14 D, 7 R",,"26 D, 15 R",,,2021-11-02,2021-11-02,2031-06-30,Active,Legislature,Democratic,,de_2020_state_upper_2021-11-02.json,de_2020_state_upper_2021-11-02.zip,de_2020_state_upper_2021-11-02.pdf
DE,2020,State Lower,41,Legislature,Vetoproof,Democratic,D,,"14 D, 7 R",,"26 D, 15 R",,,2021-11-02,2021-11-02,2031-06-30,Active,Legislature,Democratic,,de_2020_state_lower_2021-11-02.json,de_2020_state_lower_2021-11-02.zip,de_2020_state_lower_2021-11-02.pdf
FL,2000,Congress,25,Legislature,,Republican,R,,"15 D, 25 R",,"43 D, 77 R",,rejected challenge to leg. map,2002-03-27,2002-06-07,2012-04-30,Superseded,Legislature,Republican,,fl_2000_congress_2002-06-07.json,fl_2000_congress_2002-06-07.zip,fl_2000_congress_2002-06-07.pdf
FL,2000,State Upper,40,Legislature,,Republican,R,No role,"15 D, 25 R",,"43 D, 77 R",,rejected challenge to leg. map,2002-03-28,2002-06-20,2012-02-09,Superseded,Legislature,Republican,,fl_2000_state_upper_2002-06-20.json,fl_2000_state_upper_2002-06-20.zip,fl_2000_state_upper_2002-06-20.pdf
FL,2000,State Lower,120,Legislature,,Republican,R,No role,"15 D, 25 R",,"43 D, 77 R",,court drew map (not legislature),2002-03-28,2002-07-09,2012-04-30,Superseded,Federal court,Republican,,fl_2000_state_lower_2002-07-09.json,fl_2000_state_lower_2002-07-09.zip,fl_2000_state_lower_2002-07-09.pdf
FL,2010,Congress,27,Legislature,,Republican,R,,"12 D, 28 R",,"39 D, 81 R",,Court sent map back to legislature,2012-02-16,2012-04-30,2015-12-02,Struck by state court,Legislature,Republican,https://www.flsenate.gov/PublishedContent/Session/Redistricting/Plans/h000c9047/h000c9047_shp.zip,fl_2010_congress_2012-04-30.json,fl_2010_congress_2012-04-30.zip,fl_2010_congress_2012-04-30.pdf
FL,2010,Congress,27,Legislature,,Republican,R,No role,"14 D, 26 R",No role,"37 D, 82 R",No role,Court drew map (not legislature),2015-12-02,2015-12-02,2022-04-22,Superseded,State court,n/a,https://www.flsenate.gov/PublishedContent/Session/Redistricting/Plans/SC14-1905/SC14-1905_shp.zip,fl_2010_congress_2015-12-02.json,fl_2010_congress_2015-12-02.zip,fl_2010_congress_2015-12-02.pdf
FL,2010,State Upper,40,Legislature,No veto,Republican,R,No role,"12 D, 28 R",,"39 D, 81 R",,Court sent map back to legislature,2012-02-09,2012-02-09,2012-04-30,Struck by state court,Legislature,Republican,https://www.flsenate.gov/PublishedContent/Session/Redistricting/Plans/s000s9008/s000s9008_shp.zip,fl_2010_state_upper_2012-02-09.json,fl_2010_state_upper_2012-02-09.zip,fl_2010_state_upper_2012-02-09.pdf
FL,2010,State Upper,40,Legislature,No veto,Republican,R,No role,"12 D, 28 R",,"39 D, 81 R",,Court sent map back to legislature,2012-03-27,2012-04-30,2016-01-05,Struck by state court,Legislature,Republican,https://www.flsenate.gov/PublishedContent/Session/Redistricting/Plans/s016s9030/s016s9030_shp.zip,fl_2010_state_upper_2012-04-30.json,fl_2010_state_upper_2012-04-30.zip,fl_2010_state_upper_2012-04-30.pdf
FL,2010,State Upper,40,Legislature,No veto,Republican,R,No role,"14 D, 26 R",No role,"37 D, 82 R",No role,Court drew map (not legislature),2016-01-05,2016-01-05,2022-02-16,Superseded,State court,n/a,https://www.flsenate.gov/PublishedContent/Session/Redistricting/Plans/2012-CA-2842/2012-CA-2842_shp.zip,fl_2010_state_upper_2016-01-05.json,fl_2010_state_upper_2016-01-05.zip,fl_2010_state_upper_2016-01-05.pdf
FL,2010,State Lower,120,Legislature,No veto,Republican,R,No role,"12 D, 28 R",,"39 D, 81 R",,,2012-02-09,2012-04-30,2022-02-16,Superseded,Legislature,Republican,https://www.flsenate.gov/PublishedContent/Session/Redistricting/Plans/h000h9049/h000h9049_shp.zip,fl_2010_state_lower_2012-04-30.json,fl_2010_state_lower_2012-04-30.zip,fl_2010_state_lower_2012-04-30.pdf
FL,2020,Congress,28,Legislature,,Republican,R,,"16 D, 24 R",,"42 D, 78 R",,pending litigation,2022-04-22,2022-04-22,2031-06-30,In litigation,Legislature,Republican,,fl_2020_congress_2022-04-22.json,fl_2020_congress_2022-04-22.zip,fl_2020_congress_2022-04-22.pdf
FL,2020,State Upper,40,Legislature,No veto,Republican,R,No role,"16 D, 24 R",,"42 D, 78 R",,rejected challenge to leg. map,2022-02-16,2022-02-16,2031-06-30,Active,Legislature,Republican,,fl_2020_state_upper_2022-02-16.json,fl_2020_state_upper_2022-02-16.zip,fl_2020_state_upper_2022-02-16.pdf
FL,2020,State Lower,120,Legislature,No veto,Republican,R,No role,"16 D, 24 R",,"42 D, 78 R",,rejected challenge to leg. map,2022-02-16,2022-02-16,2031-06-30,Active,Legislature,Republican,,fl_2020_state_lower_2022-02-16.json,fl_2020_state_lower_2022-02-16.zip,fl_2020_state_lower_2022-02-16.pdf
GA,2000,Congress,13,Legislature,,Democratic,D,,"28 D, 28 R",,"105 D, 74 R, 1 I",,rejected challenge to leg. map,2001-10-01,2002-04-05,2011-12-23,Superseded,Legislature,Democratic,,ga_2000_congress_2002-04-05.json,ga_2000_congress_2002-04-05.zip,ga_2000_congress_2002-04-05.pdf
GA,2000,State Upper,56,Legislature,,Democratic,D,,"28 D, 28 R",,"105 D, 74 R, 1 I",,court sent map back to legislature,2002-04-12,2002-06-03,2004-03-25,Struck by federal court,Legislature,Democratic,,ga_2000_state_upper_2002-06-03.json,ga_2000_state_upper_2002-06-03.zip,ga_2000_state_upper_2002-06-03.pdf
GA,2000,State Lower,180,Legislature,,Democratic,D,,"28 D, 28 R",,"105 D, 74 R, 1 I",,court sent map back to legislature,2001-10-01,2002-04-05,2004-03-25,Struck by federal court,Legislature,Democratic,,ga_2000_state_lower_2002-04-05.json,ga_2000_state_lower_2002-04-05.zip,ga_2000_state_lower_2002-04-05.pdf
GA,2000,State Upper,56,Legislature,,Democratic,R,No role,"26 D, 30 R",No role,"107 D, 72 R, 1 I",No role,court drew map (not legislature),2004-03-25,2004-03-25,2006-03-01,Superseded,Federal court,n/a,,ga_2000_state_upper_2004-03-25.json,ga_2000_state_upper_2004-03-25.zip,ga_2000_state_upper_2004-03-25.pdf
GA,2000,State Lower,180,Legislature,,Democratic,R,No role,"26 D, 30 R",No role,"107 D, 72 R, 1 I",No role,court drew map (not legislature),2004-03-25,2004-03-25,2011-12-23,Superseded,Federal court,n/a,,ga_2000_state_lower_2004-03-25.json,ga_2000_state_lower_2004-03-25.zip,ga_2000_state_lower_2004-03-25.pdf
GA,2000,State Upper,56,Legislature,,Democratic,R,,"22 D, 34 R",,"80 D, 99 R, 1 I",,rejected challenge to leg. map,2006-03-01,2006-03-01,2011-12-23,Superseded,Legislature,Republican,,ga_2000_state_upper_2006-03-01.json,ga_2000_state_upper_2006-03-01.zip,ga_2000_state_upper_2006-03-01.pdf
GA,2010,Congress,14,Legislature,,Republican,R,,"20 D, 36 R",,"66 D, 113 R, 1 O",,Rejected challenge to leg. map,2011-09-06,2011-12-23,2021-12-30,Superseded,Legislature,Republican,http://www.legis.ga.gov/Joint/reapportionment/Documents/SEPT%202012/CONGRESS12-SHAPE.zip,ga_2010_congress_2011-12-23.json,ga_2010_congress_2011-12-23.zip,ga_2010_congress_2011-12-23.pdf
GA,2010,State Upper,56,Legislature,,Republican,R,,"20 D, 36 R",,"66 D, 113 R, 1 O",,,2011-08-24,2011-12-23,2013-12-31,Superseded,Legislature,Republican,http://www.legis.ga.gov/Joint/reapportionment/Documents/SEPT%202012/SENATE12-SHAPE.zip,ga_2010_state_upper_2011-12-23.json,ga_2010_state_upper_2011-12-23.zip,ga_2010_state_upper_2011-12-23.pdf
GA,2010,State Upper,56,Legislature,,Republican,R,,"20 D, 36 R",,"66 D, 113 R, 1 O",,Rejected challenge to leg. map,2012-04-13,2014-01-01,2021-12-30,Superseded,Legislature,Republican,http://www.legis.ga.gov/Joint/reapportionment/Documents/SENTATE%202014/SENATE14-Shape.zip,ga_2010_state_upper_2014-01-01.json,ga_2010_state_upper_2014-01-01.zip,ga_2010_state_upper_2014-01-01.pdf
